gene,_genewise_converged,_MAP_converged,_LFC_converged,dispersions,model_converged
AP1M1,True,True,True,0.15044407640514734,True
AP1M2,True,True,True,0.1450972487257589,True
AP1S1,True,True,True,0.12198246002923757,True
AP1S2,True,True,True,0.20232187809776453,True
AP1S3,True,True,True,0.1556818420168883,True
AP2A1,True,True,True,0.11491879554140601,True
AP2A2,True,True,True,0.11560326635812823,True
AP2B1,True,True,True,0.1563814234862481,True
AP2M1,True,True,True,0.10360082312577945,True
AP2S1,True,True,True,0.1598557430465548,True
AP3B1,True,True,True,0.1076187470877506,True
AP3D1,True,True,True,0.11755510702217606,True
AP3M1,True,True,True,0.12010728043598927,True
AP3M2,True,True,True,0.14750482467698434,True
AP3S2,True,True,True,0.11318199447947058,True
AP4B1,True,True,True,0.1538557753476854,True
AP4E1,True,True,True,0.12837241792188417,True
AP4M1,True,True,True,0.14489398330909836,True
APAF1,True,True,True,0.12493523837868711,True
APBA3,True,True,True,0.16745095061652276,True
APBB1,True,True,True,0.21029262560174264,True
APBB3,True,True,True,0.1557646939288558,True
APC,True,True,True,0.11923282278479082,True
APCDD1,True,True,True,0.24798899527675414,True
APEH,True,True,True,0.13344124610668825,True
APEX1,True,True,True,0.11031441536885106,True
APEX2,True,True,True,0.1420190760036381,True
APH1A,True,True,True,0.10700742310327321,True
API5,True,True,True,0.1352447466646107,True
APLF,True,True,True,0.2784668479797116,True
APLNR,True,True,True,0.12256055437988334,True
APLP2,True,True,True,0.10818599261977106,True
APOA1BP,True,True,True,0.12947426641684973,True
APOB48R,True,True,True,0.2352546614112408,True
APOBEC3C,True,True,True,0.19615692734079854,True
APOD,True,True,True,2.0655146366356982,True
APOL1,True,True,True,0.1512015283332127,True
APOL2,True,True,True,0.14584086121952616,True
APOL3,True,True,True,0.2558312371697199,True
APOL6,True,True,True,0.17811266023444056,True
APOLD1,True,True,True,0.1205653603543067,True
APOOL,True,True,True,0.162769778245376,True
APP,True,True,True,0.10934379890904859,True
APPBP2,True,True,True,0.15554615385011086,True
APPL1,True,True,True,0.10616745778485046,True
APPL2,True,True,True,0.12034258080181316,True
APRT,True,True,True,0.15024582956595434,True
APTX,True,True,True,0.18739433419163354,True
AQP1,True,True,True,0.11148151978370698,True
AQP3,True,True,True,0.19479329629621964,True
AQR,True,True,True,0.11435124591915004,True
ARAP1,True,True,True,0.11399237155056564,True
ARAP3,True,True,True,0.24652964876665262,True
ARCN1,True,True,True,0.12953431588561853,True
ARF1,False,True,True,0.09955266699103271,False
ARF3,True,True,True,0.13063201697478932,True
ARF4,True,True,True,0.1374775227059386,True
ARF5,True,True,True,0.11475844192224678,True
ARF6,True,True,True,0.11079317791731665,True
